sequence_end_idx,recon_error,is_anomaly,timestamp
9,0.004523247389435157,False,2025-01-01 02:15:00
10,0.004395426107475028,False,2025-01-01 02:30:00
11,0.004479445319233613,False,2025-01-01 02:45:00
12,0.004306839189581261,False,2025-01-01 03:00:00
13,0.005155846042218168,False,2025-01-01 03:15:00
14,0.0052979705182393,False,2025-01-01 03:30:00
15,0.00516960178104216,False,2025-01-01 03:45:00
16,0.00610128339490654,False,2025-01-01 04:00:00
17,0.005246906108545531,False,2025-01-01 04:15:00
18,0.004551269245021368,False,2025-01-01 04:30:00
19,0.004191803783570847,False,2025-01-01 04:45:00
20,0.0046180756327183605,False,2025-01-01 05:00:00
21,0.004320794851449096,False,2025-01-01 05:15:00
22,0.0070212770807536115,False,2025-01-01 05:30:00
23,0.007185100841236051,False,2025-01-01 05:45:00
24,0.0072187167328994165,False,2025-01-01 06:00:00
25,0.007157184618843629,False,2025-01-01 06:15:00
26,0.006523209652301349,False,2025-01-01 06:30:00
27,0.0076398777308044705,False,2025-01-01 06:45:00
28,0.009286151723355649,False,2025-01-01 07:00:00
29,0.008772861791673508,False,2025-01-01 07:15:00
30,0.008770814807963868,False,2025-01-01 07:30:00
31,0.009959285529216969,False,2025-01-01 07:45:00
32,0.007281039853316235,False,2025-01-01 08:00:00
33,0.007321075645522465,False,2025-01-01 08:15:00
34,0.006959368886132404,False,2025-01-01 08:30:00
35,0.009666189280943826,False,2025-01-01 08:45:00
36,0.008723006299603176,False,2025-01-01 09:00:00
37,0.009305809445679018,False,2025-01-01 09:15:00
38,0.009206327365809666,False,2025-01-01 09:30:00
39,0.010178026519153597,False,2025-01-01 09:45:00
40,0.00950278818095961,False,2025-01-01 10:00:00
41,0.00993351853668947,False,2025-01-01 10:15:00
42,0.01156282920183202,False,2025-01-01 10:30:00
43,0.010353320213123357,False,2025-01-01 10:45:00
44,0.009141085507924255,False,2025-01-01 11:00:00
45,0.006591485849653295,False,2025-01-01 11:15:00
46,0.005629128063497505,False,2025-01-01 11:30:00
47,0.004333392473280448,False,2025-01-01 11:45:00
48,0.005640443385391175,False,2025-01-01 12:00:00
49,0.0060810327763409205,False,2025-01-01 12:15:00
50,0.007270247234941213,False,2025-01-01 12:30:00
51,0.007903992609004743,False,2025-01-01 12:45:00
52,0.005239584773955896,False,2025-01-01 13:00:00
53,0.005431149492737862,False,2025-01-01 13:15:00
54,0.005341371467361029,False,2025-01-01 13:30:00
55,0.005794395977691035,False,2025-01-01 13:45:00
56,0.00633987569764065,False,2025-01-01 14:00:00
57,0.0045787570986370995,False,2025-01-01 14:15:00
58,0.005247217269486304,False,2025-01-01 14:30:00
59,0.005002267542662452,False,2025-01-01 14:45:00
60,0.004701624642241522,False,2025-01-01 15:00:00
